title	year	rated	min_age	runtime(min)	genres	director	actors	plot	languages	country	awards	imdbRating	rottenTomatoesRating	metacriticRating	boxoffice	production	ReleaseDate	YearReleased	MonthReleased	viewCount	commentCount	likeCount	dislikeCount	Production Budget	Domestic Total Gross	Distributor
The Sessions	2012	R	17	95	Biography; Comedy; Drama	Ben Lewin	John Hawkes; Helen Hunt; William H. Macy; Moon Bloodgood	At the age of 38 Mark OBrien a man who uses an iron lung decides he no longer wishes to be a virgin With the help of his therapist and his priest he contacts Cheryl Cohen-Greene a professional sex surrogate and a typical soccer mom with a house a mortgage and a husband Inspired by a true story The Sessions follows the fascinating relationship which evolves between Cheryl and Mark as she takes him on his journey to manhood	English	USA	Nominated for 1 Oscar Another 18 wins & 63 nominations	7.2	93	79	5997134	Fox Searchlight Pictures	19-Oct-12	2012	10	1346064	365	1750	102	1000000	6002451	Fox Searchlight
The Skeleton Twins	2014	R	17	93	Comedy; Drama; Romance	Craig Johnson	Bill Hader; Kristen Wiig; Luke Wilson; Ty Burrell	After ten years of estrangement twins Maggie and Milo coincidentally cheat death on the same day prompting them to reunite and confront how their lives went so wrong As the twins reunion reinvigorates them both they realize that the key to fixing their lives just may lie in fixing their relationship with each other	English	USA	4 wins & 10 nominations	6.8	87	74	N/A	Roadside Attractions	12-Sep-14	2014	9	2351126	534	5207	841	1000000	5284309	Roadside Attractions
Transamerica	2005	R	17	103	Adventure; Comedy; Drama	Duncan Tucker	Andrea James; Felicity Huffman; Danny Burstein; Maurice Orozco	Southern Californian Bree Osbourne formerly Stanley Chupak has finally received the news for which she has been waiting: she has been approved for male-to-female sexual reassignment surgery But before Margaret her therapist will allow her to go through with the surgery scheduled in a weeks time Bree has to deal with an unresolved problem from her past Bree gets a telephone call from a seventeen year old man named Toby Wilkins who is looking for Stanley his biological father Toby is in a New York jail having been supporting himself by petty crime and hustling Stanley/Bree knew nothing about Toby before the telephone call Toby apparently is all alone in the world with his mother having committed suicide and being estranged from his stepfather in Tennessee Masquerading as a Christian social worker Bree not telling him either of her true identity or her transgender status bails Toby out of jail and tells him she will take him to Los Angeles where Toby has aspirations of becoming a porn actor and reconnecting with his biological father As Bree and Toby take their trans-American journey which includes some interesting encounters along the way Bree has to decide what is best for Toby while having the foremost goal of making it back to Los Angeles for the scheduled surgery	English; Spanish	USA	Nominated for 2 Oscars Another 32 wins & 23 nominations	7.4	77	66	8713873	The Weinstein Company	2-Dec-05	2005	12	16999	3	24	1	1000000	9015303	Weinstein Company
20 Feet from Stardom	2013	PG-13	13	91	Documentary; Music	Morgan Neville	Lou Adler; Stephanie 'Stevvi' Alexander; Patti Austin; Chris Botti	The backup singer exists in a strange place in the pop music world they are always in the shadow of the feature artists even when they are in front of them in concert while they provide a vital foundation for the music Through interviews with veterans and concert footage the history of these predominately African-American singers is explored through the rock era Furthermore special focus is given to special stand outs who endeavored to make a living in the art burdened with a low profile and more personal career frustrations especially those who faced the very different challenge of singing in the spotlight themselves	English	USA	Won 1 Oscar Another 20 wins & 26 nominations	7.4	99	83	N/A	Radius-TWC	14-Jun-13	2013	6	788899	172	1744	80	1000000	4946445	Radius-TWC
3 Geezers!	2013	NOT RATED	17	81	Comedy	Michelle Schumacher	J.K. Simmons; Tim Allen; Scott Caan; Basil Hoffman	Follow actor J Kimball as he researches what its like to be old for a role in an upcoming movie When he meets the residents at The Coconuts convalescent home he quickly discovers that his perceptions of the elderly may be off from todays reality After being on the wrong end of some pranks J enlists the help of his Hollywood friends to turn the tides Mayhem ensues	English	USA	N/A	3.4	N/A	9	N/A	Gravitas Adventuras	22-May-13	2013	5	3950	0	2	1	1000000	4175	Unknown
Dear White People	2014	R	17	108	Comedy; Drama; Romance	Justin Simien	Tyler James Williams; Tessa Thompson; Kyle Gallner; Teyonah Parris	A social satire that follows the stories of four black students at an Ivy League college where controversy breaks out over a popular but offensive black-face party thrown by white students With tongue planted firmly in cheek the film explores racial identity in acutely-not-post-racial America while weaving a universal story of forging ones unique path in the world	English	USA	14 wins & 26 nominations	6.2	91	79	N/A	Roadside Attractions	17-Oct-14	2014	10	2175204	5386	12468	8317	1000000	4404154	Roadside Attractions
Full of It	2007	PG-13	13	93	Drama; Comedy	Christian Charles	Ryan Pinkston; Kate Mara; Teri Polo; Craig Kilborn	A young kid is forced to live out the lies he told to become popular	English	USA; South Africa; Italy	N/A	5.6	6	33	N/A	New Line Cinema	2-Mar-07	2007	3	6103	0			1000000	14273	New Line
Honeymoon	2014	R	17	87	Horror; Mystery; Thriller	Leigh Janiak	Rose Leslie; Harry Treadaway; Ben Huber; Hanna Brown	Young newlyweds Paul and Bea travel to remote lake country for their honeymoon Shortly after arriving Paul finds Bea wandering and disoriented in the middle of the night As she becomes more distant and her behavior increasingly peculiar Paul begins to suspect something more sinister than sleepwalking took place in the woods	English	USA	5 nominations	5.7	73	65	9168	Magnolia Pictures	12-Sep-14	2014	9	2090963	712	2653	306	1000000	9318	Magnolia
The Queen of Versailles	2012	PG	7	100	Documentary	Lauren Greenfield	Alyse Barker; Lorraine Barrett; June Downs; Phillip Froehlich	In 2008 the Siegel family was top of the heap with the wealthy and politically influential David Siegel running the successful Westgate Resorts time-share business To enjoy their good life he and his engineer turned beauty queen trophy wife Jackie were building the largest single family private home in America Suddenly both the US economy and Westgate were rocked by the devastating sub-prime mortgage collapse In the new economic reality with the business teetering on ruin we follow the Siegels as they struggle to scale down their grotesquely ostentatious lifestyle For this overprivileged family accepting that situation proved a dispiriting struggle even as their unfinished dream home became a monument of their superficial values	English	USA; Netherlands; UK; Denmark	8 wins & 26 nominations	7.1	94	80	2401652	Magnolia Pictures	20-Jul-12	2012	7	166667	33	103	32	1000000	2401999	Magnolia
The Raid: Redemption	2011	R	17	101	Action; Crime; Thriller	Gareth Evans	Iko Uwais; Joe Taslim; Donny Alamsyah; Yayan Ruhian	In Jakarta Indonesia Lieutenant Wahyu organizes the invasion of an apartment building that is the safe house of the powerful and cruel drug lord Tama and his gang The SWAT team breaks in the building but one lookout sees and warns the gangsters and the police force is trapped on the seventh floor They learn that Lt Wahyu has not informed his superiors about the operation Now the police officers have to fight with limited ammunition against the armed and dangerous gangsters	Indonesian	Indonesia; France; USA	6 wins & 12 nominations	7.6	85	73	1200000	Sony Pictures Classics	23-Mar-12	2012	3	2642411	1286	5354	193	1100000	4105187	Sony Classics
The Girlfriend Experience	2009	R	17	77	Drama	Steven Soderbergh	Sasha Grey; Chris Santos; Philip Eytan; Colby Trane	Chelsea (Sasha Grey) is a high-priced $2000-an-hour call girl in Manhattan offering a girlfriend experience: shell dress with the client in mind go to dinner and a movie listen attentively to talk about work and finances and shell provide sex Its October 2008: a presidential election nears and the economy is in free fall She has a boyfriend Chris (Chris Santos) whos a personal trainer We are shown five non-consecutive days in Chelseas life Shes working on her Web page talking to image consultants and being interviewed by a reporter She asks clients when their birthdays are and uses that for an astrological prediction Shes drawn to a new client a writer from LA Should she break her rules for him? What if it risks her relationship with Chris? Should she invest in gold?	English; French	USA	1 nomination	5.5	66	66	642853	Magnolia Pictures	22-May-09	2009	5	452323	59	228	47	1300000	695840	Magnolia
Forty Shades of Blue	2005	R	17	108	Drama; Music; Romance	Ira Sachs	Dina Korzun; Rip Torn; Darren E. Burrows; Andrew Lawrence Henderson	Wealthy music producer Alan James lives with his beautiful Russian girlfriend Laura thirty years younger than him whom he met while he was in Russia on business They have a three-year-old son Alan is a music legend having produced black music during the 60s and 70s the golden era of Memphis Soul They live an affluent life in a sprawling mansion on the banks of the Mississippi in Memphis Tennessee But although she is comfortable Laura feels lonely and isolated Alan has an estranged adult son from a previous marriage Michael a literature professor who is married and lives with his wife in Los Angeles Michael and his father have a complicated relationship that is marred by disappointment hampered by jealousy and fueled by anger When Michael returns home to Memphis for the first time in many years although he had at first disapproved of his fathers young girlfriend a painful and dangerous love affair develops between him and Laura his contemporary As this forbidden passion deepens in the bedrooms and bars of modern Memphis Laura comes to an illuminating self-confrontation that will change her soul and her life forever	English	USA	1 win & 2 nominations	6	59	74	N/A	First Look Media	28-Sep-05	2005	9	6622	3	5	0	1500000	75828	Vitagraph
The Squid and the Whale	2005	R	17	81	Comedy; Drama	Noah Baumbach	Owen Kline; Jeff Daniels; Laura Linney; Jesse Eisenberg	In 1986 In Brooklyn New York the dysfunctional family of pseudo intellectuals composed by the university professor Bernard and the prominent writer Joan split Bernard is a selfish cheap and jealous decadent writer that rationalizes every attitude in his family and life and does not accept philistines - people that do not read books or watch movies while the unfaithful Joan is growing as a writer and has no problems with philistines Their sons the teenager Walt and the boy Frank feel the separation and take side: Walt stays with Bernard and Frank with Joan and both are affected with abnormal behaviors Frank drinks booze and smears with sperm the books in the library and a locker in the dress room of his school The messed-up and insecure Walt uses Roger Waters song Hey You in a festival as if it was of his own and breaks up with his girlfriend Sophie Meanwhile Joan has an affair with Franks tennis teacher Ivan and Bernard with his student Lili	English	USA	Nominated for 1 Oscar Another 23 wins & 47 nominations	7.4	92	82	7073391	Samuel Goldwyn Films	5-Oct-05	2005	10	396403	71	445	30	1500000	7372734	IDP
