title|year|rated|released|runtime|genres|director|actors|plot|languages|country|awards|imdbRating|rottenTomatoesRating|metaCriticRating|metascore|rating|type|boxoffice|production|Title|ReleaseDate|Genre|Rating|common_title|viewCount|favoriteCount|commentCount|likeCount|dislikeCount
Dark Water|2005|PG-13|Fri Jul 08 2005 00:00:00 GMT-0400 (EDT)|105 min|Drama; Horror; Thriller|Walter Salles|Jennifer Connelly; John C. Reilly; Tim Roth; Dougray Scott|Dahlia Williams and her daughter Cecelia move into a rundown apartment on New Yorks Roosevelt Island She is currently in the midst of divorce proceedings and the apartment though near an excellent school for her daughter is all she can afford From the time she arrives there are mysterious occurrences and there is a constant drip from the ceiling in the only bedroom There are also noises coming from the apartment directly above hers though it would appear to be vacant Is the apartment haunted or is there a simpler explanation?|English|USA|5 nominations|5.6/10|46%|52/100|52|5.6|movie|$25,416,400|Buena Vista|Dark Water|8-Jul-05|Drama, Thriller, Horror|52|Dark Water|249141|0|53|196|19
The Exorcism of Emily Rose|2005|PG-13|Fri Sep 09 2005 00:00:00 GMT-0400 (EDT)|119 min|Drama; Horror; Thriller|Scott Derrickson|Laura Linney; Tom Wilkinson; Campbell Scott; Jennifer Carpenter|When a younger girl called Emily Rose dies everyone puts blame on the exorcism which was performed on her by Father Moore prior to her death The priest is arrested on suspicion of murder The trail begins with lawyer Erin Bruner representing Moore but it is not going to be easy as no one wants to believe what Father Moore says is true|English; Syriac; German; Greek; Hebrew; Latin; Aramaic|USA|4 wins & 9 nominations|6.7/10|20%|46/100|46|6.7|movie|N/A|Dimension Films|The Exorcism of Emily Rose|9-Sep-05|Drama, Thriller, Horror, Crime|46|The Exorcism of Emily Rose|41306|0|4|118|8
Forty Shades of Blue|2005|R|Wed Dec 07 2005 00:00:00 GMT-0500 (EST)|108 min|Drama; Music; Romance|Ira Sachs|Dina Korzun; Rip Torn; Darren E. Burrows; Andrew Lawrence Henderson|Wealthy music producer Alan James lives with his beautiful Russian girlfriend Laura thirty years younger than him whom he met while he was in Russia on business They have a three-year-old son Alan is a music legend having produced black music during the 60s and 70s the golden era of Memphis Soul They live an affluent life in a sprawling mansion on the banks of the Mississippi in Memphis Tennessee But although she is comfortable Laura feels lonely and isolated Alan has an estranged adult son from a previous marriage Michael a literature professor who is married and lives with his wife in Los Angeles Michael and his father have a complicated relationship that is marred by disappointment hampered by jealousy and fueled by anger When Michael returns home to Memphis for the first time in many years although he had at first disapproved of his fathers young girlfriend a painful and dangerous love affair develops between him and Laura his contemporary As this forbidden passion deepens in the bedrooms and bars of modern Memphis Laura comes to an illuminating self-confrontation that will change her soul and her life forever|English|USA|1 win & 2 nominations|6.0/10|59%|74/100|74|6|movie|N/A|First Look Media|Forty Shades of Blue|28-Sep-05|Drama|74|Forty Shades of Blue|6622|0|3|5|0
The Dying Gaul|2005|R|Sat Jan 01 2005 00:00:00 GMT-0500 (EST)|92 min|Drama; Romance|Craig Lucas|Patricia Clarkson; Campbell Scott; Peter Sarsgaard; Ryan Miller|The gay screenwriter Robert who is grieving the recent loss of his lover writes a screenplay based on his biography and tries to sell it to the Hollywood producer Jeffrey He offers one million dollars for his work provided changes in the story replacing the dying man per a woman to make a commercial film Jeffrey shows the screenplay to his wife Elaine who loves to write and to plant flowers and she is also delighted with the story Robert works introducing the required modifications and Jeffrey who is bisexual has an affair with him Meanwhile Elaine finds the gay website where Robert writes and she creates a fake profile to have conversation with him pretending that she is his deceased lover Soon she learns the affair of her husband and she decides to leave him But when the gay Robert discovers the truth he has a breakdown and takes vengeance for Elaine with tragic consequences|English|USA|1 win & 2 nominations|6.5/10|49%|62/100|62|6.5|movie|$278,160|Strand Releasing|The Dying Gaul|4-Nov-05|Drama, Romance|62|The Dying Gaul|315170|0|22|110|20
The Amityville Horror|2005|R|Fri Apr 15 2005 00:00:00 GMT-0400 (EDT)|90 min|Drama; Horror; Mystery|Andrew Douglas|Ryan Reynolds; Melissa George; Jesse James; Jimmy Bennett|In December 1975 George and Kathy Lutz along with their three children move into an elegant Long Island house What they dont know is that the house was the site of a horrific mass murder a year before They decide to keep the house and attempt to keep the horror in the past but are now haunted by a murderous presence This is until George starts to behave weirdly and their daughter Chelsea starts to see people What follows is 28 days of sheer unbridled terror for the family with demonic visions of the dead Based on the true story of George and Kathy Lutz The Amityville Horror remains one of the most horrifying haunted house stories ever told - because it actually happened|English|USA|2 wins & 4 nominations|6.0/10|24%|33/100|33|6|movie|$64,255,243|MGM|The Amityville Horror|15-Apr-05|Drama, Mystery, Thriller, Horror|33|The Amityville Horror|193572|0|44|199|15
Get Rich or Die Tryin'|2005|R|Wed Nov 09 2005 00:00:00 GMT-0500 (EST)|117 min|Biography; Crime; Drama|Jim Sheridan|50 Cent; Adewale Akinnuoye-Agbaje; Joy Bryant; Omar Benson Miller|A tale of an inner city drug dealer who turns away from crime to pursue his passion rap music|English; Spanish|USA; Canada|6 wins & 3 nominations|5.2/10|16%|45/100|45|5.2|movie|$30,885,034|Paramount Pictures|Get Rich or Die Tryin'|9-Nov-05|Biography, Drama, Crime, Music|45|Get Rich or Die Tryin'|406850|0|96|396|18
Alone in the Dark|2005|R|Fri Jan 28 2005 00:00:00 GMT-0500 (EST)|96 min|Action; Horror; Sci-Fi|Uwe Boll|Christian Slater; Tara Reid; Stephen Dorff; Frank C. Turner|Edward Carnby detective of the paranormal unexplained and supernatural investigates a mystery (the recent death of a friend) with clues leading to Shadow Island that brings him face to face with bizarre horrors that prove both psychologically disturbing and lethal as he discovers that evil demons worshiped by an ancient culture called the Abskani are planning on coming back to life in the 21st century to once again take over the world and only he and a young genius anthropologist with an incredible memory (and his ex-girlfriend) Aline Cedrac stand in their way at a gateway to hell Standing in Carnbys way however is the impact that a brief encounter with an evil spirit called the Queen had upon his mind as he slowly finds himself overpowered by the forces of darkness as they eat away at his very sanity|English|Canada; Germany; USA|5 wins & 4 nominations|2.3/10|1%|9/100|9|2.3|movie|$5,132,655|Lions Gate|Alone in the Dark|28-Jan-05|Action, Fantasy, Horror|9|Alone in the Dark|245766|0|59|99|132
Brokeback Mountain|2005|R|Fri Jan 13 2006 00:00:00 GMT-0500 (EST)|134 min|Drama; Romance|Ang Lee|Heath Ledger; Jake Gyllenhaal; Randy Quaid; Valerie Planche|Two young men Ennis Del Mar and Jack Twist meet when they get a job as sheep herders on Brokeback Mountain They are at first strangers then they become friends Throughout the weeks they grow closer as they learn more about each other One night after some heavy drinking they find a deeper connection They then indulge in a blissful romance for the rest of the summer Unable to deal with their feelings for each other they part ways at the end of the summer Four years go by and they each settle down Ennis in Wyoming with his wife and two girls and Jack in Texas with his wife and son Still longing for each other they meet back up and are faced with the fact that they need each other They undeniably need each other and unsure of what to do they start a series of fishing trips in order to spend time together The relationship struggles on for years until tragedy strikes|English; Spanish|USA; Canada|Won 3 Oscars Another 138 wins & 128 nominations|7.7/10|87%|87/100|87|7.7|movie|$82,970,165|Focus Features|Brokeback Mountain|9-Dec-05|Drama, Romance, Western|87|Brokeback Mountain|52637|0|29||
Bad News Bears|2005|PG-13|Fri Jul 22 2005 00:00:00 GMT-0400 (EDT)|113 min|Comedy; Sport|Richard Linklater|Billy Bob Thornton; Greg Kinnear; Marcia Gay Harden; Sammi Kane Kraft|Morris Buttermaker an alcoholic pest removal worker and former professional baseball player (for a very short time) is recruited to coach and train a failing baseball team of 12-year-olds which is about to be thrown out of the league|English; Spanish|USA|1 win & 4 nominations|5.8/10|N/A|65/100|65|5.8|movie|N/A|N/A|Bad News Bears|22-Jul-05|Sport, Comedy, Family|65|Bad News Bears|262414|0|||
Brick|2005|R|Fri Apr 14 2006 00:00:00 GMT-0400 (EDT)|110 min|Action; Crime; Drama|Rian Johnson|Joseph Gordon-Levitt; Nora Zehetner; Lukas Haas; Noah Fleiss|The lonely teenager Brendan finds his former girlfriend Emily dead in the entrance of a tunnel of sewage and recalls her phone call two days ago when she said to him that she was in trouble Brendan who still loved Emily met bad elements of his high-school trying to contact her and when he succeeded she told him that she was OK He hides her body in the tunnel and decides to investigate the meaning and connection of four words including brick and pin that Emily told him to find who killed her Using the support of his nerd friend Brain he successively meets the small time drug dealers Kara Dode Brad Bramish Laura and Tugger to reach the teenager powerful drug dealer The Pin Slowly Brendan unravels the motives why Emily was killed and plots a revenge|English|USA|11 wins & 23 nominations|7.4/10|79%|72/100|72|7.4|movie|$1,973,180|Focus Features|Brick|31-Mar-06|Drama, Mystery, Crime|72|Brick|335137|0|214|1181|34
The Aristocrats|2005|UNRATED|Fri Sep 02 2005 00:00:00 GMT-0400 (EDT)|89 min|Documentary; Comedy|Paul Provenza|Chris Albrecht; Jason Alexander; Hank Azaria; Shelley Berman|Comedy veterans and co-creators Penn Jillette and Paul Provenza capitalize on their insider status and invite over 100 of their closest friends--who happen to be some of the biggest names in entertainment from George Carlin Whoopi Goldberg and Drew Carey to Gilbert Gottfried Bob Saget Paul Reiser and Sarah Silverman--to reminisce analyze deconstruct and deliver their own versions of the worlds dirtiest joke an old burlesque too extreme to be performed in public called The Aristocrats|English|USA|6 nominations|6.4/10|N/A|72/100|72|6.4|movie|N/A|Planetmatt Entertainment|The Aristocrats|29-Jul-05|Comedy, Documentary|72|The Aristocrats|64994|0|10|63|9
Guess Who|2005|PG-13|Fri Mar 25 2005 00:00:00 GMT-0500 (EST)|105 min|Comedy; Romance|Kevin Rodney Sullivan|Bernie Mac; Ashton Kutcher; Zoe Saldana; Judith Scott|Percy and Marilyn are renewing their vows for their anniversary and their daughter Theresa brings her boyfriend Simon for them to meet Unbeknownst to her parents the kids plan to announce their engagement during the weekend The Jones family is Black Theresa neglects to tell them Simon is White Race complicates Percys general mistrust of any boyfriend so he instigates an investigation of Simon discovering hes recently lost his job and hasnt told Theresa Mistrust rears its ugly head and in the process of Theresa and Simons argument Marilyn and Percy fall out What can the men do to cross the divide between each other and between men and women? Will anyone be exchanging vows?|English|USA|16 nominations|5.9/10|42%|49/100|49|5.9|movie|$67,962,333|Sony Pictures|Guess Who|25-Mar-05|Comedy, Romance|49|Guess Who|84744|0|6||
Duma|2005|PG|Fri May 27 2005 00:00:00 GMT-0400 (EDT)|100 min|Adventure; Drama; Family|Carroll Ballard|Alex Michaeletos; Campbell Scott; Mary Makhatho; Nthabiseng Kenoshi|During a nightly Porsche ride with his doting rascal Xan white South African farmer Peter finds and adopts an orphaned cheetah cub dubbed Duma (just Swahili for cheetah) It becomes the boys inseparable playmate even taking it to bed Peter made clear from the start that the cheetah should be returned to the wild before its full adulthood But the father is stricken down with a disease just before the cheetah could be returned Xans mother sells the farm and moves in with a city aunt The cheetah escapes but finds Xan at school where the new boy is bullied He decides to run away to the mountains with Duma On the way they face countless perils which courage Xans intelligence and Dumas instinct overcome|English|USA|1 win|7.3/10|93%|82/100|82|7.3|movie|$810,666|Warner Bros. Pictures|Duma|5-Aug-05|Adventure, Drama, Family|82|Duma|10154|0|0|13|1
Fun with Dick and Jane|2005|PG-13|Wed Dec 21 2005 00:00:00 GMT-0500 (EST)|90 min|Comedy; Crime|Dean Parisot|Jim Carrey; Téa Leoni; Alec Baldwin; Richard Jenkins|The day before Globodynes stock tanks a la Enron and its pension fund evaporates the corporations CEO and CFO set up middle manager Dick Harper to be the public face of the disaster Jobless and with no savings pension or home equity Dick and his wife Jane sink slowly into poverty He looks for work (as do all former Globodyne executives) he even tries day labor with the relatives of their Mexican nanny A foreclosure notice sends Dick and Jane over the edge into a life of blue-collar crime Then as things finally look up the report of an looming indictment pushes Dick and Jane toward a denouement with the real criminals the white-collar guys|English; Spanish|USA|7 nominations|6.1/10|29%|47/100|47|6.1|movie|$110,332,737|Columbia Pictures|Fun with Dick and Jane|21-Dec-05|Comedy, Crime|47|Fun with Dick and Jane|99117|0|2||
The Great Raid|2005|R|Fri Aug 12 2005 00:00:00 GMT-0400 (EDT)|132 min|Action; Drama; War|John Dahl|Benjamin Bratt; James Franco; Robert Mammone; Max Martini|Set in the Philippines in 1945 towards the end of WWII under the command of Lieutenant Colonel Henry Mucci and Captain Robert Prince the 6th Ranger Battalion undertake a daring rescue mission against all odds Traveling thirty miles behind enemy lines they intend to liberate over 500 American Soldiers from the notorious Cabanatuan Japanese POW camp in the most audacious rescue ever|Filipino; English; Tagalog; Japanese|USA; Australia|1 nomination|6.7/10|37%|48/100|48|6.7|movie|$10,074,830|Miramax Films|The Great Raid|12-Aug-05|Action, Drama, War|48|The Great Raid|5591|0|0|10|1
