common_title,viewCount,favoriteCount,commentCount,likeCount,dislikeCount
Tropic Thunder,18258,0,0,12,2
Twilight,10735445,0,6516,21753,1391
U2 3D,2338954,0,420,1766,263
Untraceable,495850,0,193,591,42
Valkyrie,1225651,0,1080,1584,108
Vantage Point,43830,0,7,38,0
Vicky Cristina Barcelona,1093970,0,80,1462,99
Visioneers,73345,0,8,82,2
W.,35720,0,15,60,2
WALL-E,589577,0,190,854,68
Waltz with Bashir,47332,0,5,101,3
Wanted,630206,0,66,748,31
"War, Inc.",765470,0,237,583,64
Welcome Home Roscoe Jenkins,132527,0,8,66,4
What Doesn't Kill You,13329,0,3,13,0
What Happens in Vegas,202077,0,14,296,13
What Just Happened,2113,0,0,0,1
Witless Protection,164512,0,23,97,33
The Women,739106,0,173,602,81
The Wrestler,83888,0,37,129,5
The X-Files: I Want to Believe,253659,0,131,477,58
Yes Man,397044,0,72,421,16
You Don't Mess with the Zohan,602969,0,159,833,80
