Runtime,Production Budget,Domestic Total Gross,title,Genre,Distributor,MPAA Rating,Release Date
1 hrs. 32 min.,N/A,"$3,102,550 ",Supercross ,Sports Action,Fox,PG-13,17-Aug-05
2 hrs. 6 min.,$50 million,"$50,824,620 ",Syriana ,Drama / Thriller,Warner Bros.,R,23-Nov-05
1 hrs. 34 min.,N/A,"$816,403 ",The Thing About My Folks ,Comedy,Picturehouse,PG-13,16-Sep-05
2 hrs. 1 min.,$15 million,"$5,027,684 ",The Three Burials of Melquiades Estrada ,Western,Sony Classics,R,14-Dec-05
1 hrs. 35 min.,N/A,"$1,328,679 ",Thumbsucker ,Comedy / Drama,Sony Classics,R,16-Sep-05
1 hrs. 43 min.,N/A,"$9,015,303 ",Transamerica ,Comedy / Drama,Weinstein Company,R,2-Dec-05
1 hrs. 28 min.,$32 million,"$43,095,856 ",Transporter 2 ,Action,Fox,PG-13,2-Sep-05
2 hrs. 2 min.,$35 million,"$22,991,379 ",Two for the Money ,Drama / Thriller,Universal,R,7-Oct-05
1 hrs. 35 min.,N/A,"$5,655,459 ",Underclassman ,Action Comedy,Miramax,PG-13,2-Sep-05
1 hrs. 32 min.,$9 million,"$1,069,318 ",Undiscovered ,Music Drama,Lions Gate,PG-13,26-Aug-05
1 hrs. 40 min.,$30 million,"$8,586,392 ",An Unfinished Life ,Drama,Miramax,PG-13,9-Sep-05
1 hrs. 58 min.,$12 million,"$18,761,993 ",The Upside of Anger ,Comedy / Drama,New Line,R,11-Mar-05
1 hrs. 25 min.,N/A,"$881,779 ",Venom ,Horror,Dimension Films,R,16-Sep-05
1 hrs. 33 min.,$3 million,"$16,124,543 ",Waiting... ,Comedy,Lions Gate,R,7-Oct-05
2 hrs. 15 min.,$28 million,"$119,519,402 ",Walk the Line ,Music Drama,Fox,PG-13,18-Nov-05
1 hrs. 57 min.,$132 million,"$234,280,354 ",War of the Worlds ,Sci-Fi Horror,Paramount,PG-13,29-Jun-05
1 hrs. 33 min.,N/A,"$74,655 ",The War Within ,Drama / Thriller,Magnolia,R,30-Sep-05
1 hrs. 42 min.,$22 million,"$12,482,775 ",The Weather Man ,Comedy / Drama,Paramount,R,28-Oct-05
1 hrs. 53 min.,$40 million,"$209,255,921 ",Wedding Crashers ,Comedy,New Line,R,15-Jul-05
1 hrs. 30 min.,$15 million,"$31,726,995 ",The Wedding Date ,Romantic Comedy,Universal,PG-13,4-Feb-05
1 hrs. 48 min.,$25 million,"$872,142 ",Where the Truth Lies ,Drama,ThinkFilm,R,7-Oct-05
1 hrs. 41 min.,N/A,"$56,386,759 ",White Noise ,Horror,Universal,PG-13,7-Jan-05
1 hrs. 39 min.,N/A,"$1,439,972 ",Why We Fight ,Documentary,Sony Classics,PG-13,20-Jan-06
2 hrs. 7 min.,$25 million,"$5,128,124 ",The World's Fastest Indian ,Period Drama,Magnolia,PG-13,7-Dec-05
1 hrs. 30 min.,$45 million,"$53,412,862 ","Yours, Mine and Ours ",Family Comedy,Paramount,PG,23-Nov-05
1 hrs. 53 min.,$65 million,"$29,258,869 ",Zathura ,Family Adventure,Sony / Columbia,PG,11-Nov-05
1 hrs. 40 min.,N/A,"$20,342,852 ",A Prairie Home Companion ,Comedy,Picturehouse,PG-13,9-Jun-06
2 hrs. 18 min.,$40 million,"$50,866,635 ",Apocalypto ,Period Adventure,Buena Vista,R,8-Dec-06
1 hrs. 49 min.,$12 million,"$18,597,342 ",Aquamarine ,Family Comedy,Fox,PG,3-Mar-06
1 hrs. 42 min.,N/A,"$3,297,137 ",Art School Confidential ,Comedy,Sony Classics,R,5-May-06
2 hrs. 22 min.,N/A,"$34,302,837 ",Babel ,Drama,Paramount Vantage,R,27-Oct-06
1 hrs. 53 min.,N/A,"$5,971,336 ",Basic Instinct 2 ,Thriller,Sony / Columbia,R,31-Mar-06
1 hrs. 39 min.,$40 million,"$70,165,972 ",Big Momma's House 2 ,Action Comedy,Fox,PG-13,27-Jan-06
2 hrs. 18 min.,$100 million,"$57,377,916 ",Blood Diamond ,Adventure,Warner Bros.,R,8-Dec-06
1 hrs. 34 min.,$25 million,"$2,405,420 ",BloodRayne ,Action Horror,Romar Entertainment,R,6-Jan-06
2 hrs. 24 min.,$150 million,"$167,445,960 ",Casino Royale ,Action,Sony / Columbia,PG-13,17-Nov-06
1 hrs. 49 min.,$76 million,"$35,552,383 ",Children of Men ,Sci-Fi Thriller,Universal,R,25-Dec-06
1 hrs. 35 min.,$5.8 million,"$7,009,668 ",Crossover ,Sports Drama,Sony / Columbia,PG-13,1-Sep-06
1 hrs. 43 min.,$3 million,"$11,718,595 ",Dave Chappelle's Block Party ,Comedy,Rogue Pictures,R,3-Mar-06
2 hrs. 5 min.,N/A,"$103,365,956 ",Dreamgirls ,Musical,Paramount (DreamWorks),PG-13,15-Dec-06
1 hrs. 52 min.,$40 million,"$81,612,565 ",Eight Below ,Adventure,Buena Vista,PG,17-Feb-06
1 hrs. 43 min.,$12 million,"$28,444,855 ",Employee of the Month ,Comedy,Lionsgate,PG-13,6-Oct-06
1 hrs. 39 min.,$100 million,"$75,030,163 ",Eragon ,Fantasy,Fox,PG,15-Dec-06
1 hrs. 28 min.,N/A,"$14,523,101 ",Everyone's Hero ,Animation,Fox,G,15-Sep-06
2 hrs. 2 min.,N/A,"$6,995,302 ",Fearless ,Drama,Warner Bros.,R,15-Oct-93
1 hrs. 55 min.,$25 million,"$54,098,051 ",Final Destination 3 ,Horror,New Line,R,10-Feb-06
1 hrs. 40 min.,N/A,"$48,751,189 ",Firewall ,Thriller,Warner Bros.,PG-13,10-Feb-06
1 hrs. 40 min.,$15 million,"$21,000,147 ",Flicka ,Family,Fox,PG,20-Oct-06
1 hrs. 26 min.,$149 million,"$64,665,672 ",Flushed Away ,Animation,Paramount (DreamWorks),PG,3-Nov-06
2 hrs. 0 min.,$60 million,"$13,090,630 ",Flyboys ,War,MGM,PG-13,22-Sep-06
1 hrs. 26 min.,N/A,"$5,549,923 ",For Your Consideration ,Comedy,Warner Independent,PG-13,17-Nov-06
1 hrs. 52 min.,N/A,"$12,512,886 ",Freedomland ,Drama / Thriller,Sony (Revolution),R,17-Feb-06
1 hrs. 27 min.,$6.5 million,"$13,368,437 ",Friends with Money ,Comedy / Drama,Sony Classics,R,7-Apr-06
1 hrs. 20 min.,N/A,"$28,426,747 ",Garfield: A Tail of Two Kitties ,Family Comedy,Fox,PG,16-Jun-06
1 hrs. 36 min.,N/A,"$6,090,172 ",Grandma's Boy ,Comedy,Fox,R,6-Jan-06
2 hrs. 0 min.,$30 million,"$38,432,823 ",Gridiron Gang ,Sports Drama,Sony / Columbia,PG-13,15-Sep-06
1 hrs. 48 min.,$100 million,"$198,000,317 ",Happy Feet ,Animation,Warner Bros.,PG,17-Nov-06
1 hrs. 55 min.,N/A,"$3,337,931 ",Harsh Times ,Crime,MGM,R,10-Nov-06
1 hrs. 30 min.,$15 million,"$8,117,637 ",Hoot ,Family Comedy,New Line,PG,5-May-06
1 hrs. 35 min.,$4.8 million,"$47,326,473 ",Hostel ,Horror,Lions Gate,R,6-Jan-06
1 hrs. 38 min.,N/A,"$13,040,527 ",How to Eat Fried Worms ,Family Comedy,New Line,PG,25-Aug-06
1 hrs. 30 min.,$80 million,"$195,330,621 ",Ice Age: The Meltdown ,Animation,Fox,PG,31-Mar-06
1 hrs. 24 min.,N/A,"$444,093 ",Idiocracy ,Sci-Fi Comedy,Fox,R,1-Sep-06
1 hrs. 30 min.,N/A,"$12,571,185 ",Idlewild ,Musical,Universal,R,25-Aug-06
1 hrs. 44 min.,N/A,"$57,806,952 ",Invincible ,Sports Drama,Buena Vista,PG,25-Aug-06
1 hrs. 27 min.,$18 million,"$41,011,711 ",John Tucker Must Die ,Comedy,Fox,PG-13,28-Jul-06
1 hrs. 48 min.,N/A,"$17,326,650 ",Just My Luck ,Romantic Comedy,Fox,PG-13,12-May-06
1 hrs. 33 min.,N/A,"$69,220 ",Kenny ,Comedy,Xenon Pictures,PG-13,20-Jun-08
