Title,Runtime,Production Budget,Domestic Total Gross,Genre,Distributor,MPAA Rating,Release Date,
Glitter (2001),1 hrs. 44 min.,$22 million,"$4,274,407 ",Music Drama,Fox,PG-13,21-Sep-01,
Best Seller (1987),1 hrs. 35 min.,N/A,"$4,278,150 ",Unknown,Orion Pictures,R,25-Sep-87,
Listen to Me (1989),1 hrs. 47 min.,N/A,"$4,299,023 ",Unknown,Columbia,PG-13,5-May-89,
Catch a Fire (2006),1 hrs. 42 min.,N/A,"$4,299,773 ",Drama,Focus Features,PG-13,27-Oct-06,
Hear My Song (1991),1 hrs. 44 min.,N/A,"$4,313,473 ",Music Drama,Miramax,R,27-Dec-91,
Mortuary (1983),1 hrs. 31 min.,N/A,"$4,319,001 ",Unknown,Film Ventures Intl,R,2-Sep-83,
The Mean Season (1985),1 hrs. 44 min.,N/A,"$4,349,446 ",Unknown,Orion Pictures,R,15-Feb-85,
Meet the Deedles (1998),1 hrs. 33 min.,N/A,"$4,356,216 ",Comedy,Buena Vista,PG,27-Mar-98,
Bogus (1996),1 hrs. 52 min.,N/A,"$4,357,406 ",Family,Warner Bros.,PG,6-Sep-96,
On the Line (2001),1 hrs. 26 min.,$16 million,"$4,365,455 ",Romantic Comedy,Miramax,PG,26-Oct-01,
The Conversation (1974),1 hrs. 53 min.,N/A,"$4,420,000 ",Drama / Thriller,Paramount,PG,7-Apr-74,
The Adventures of Pluto Nash (2002),1 hrs. 35 min.,$100 million,"$4,420,080 ",Sci-Fi Comedy,Warner Bros.,PG-13,16-Aug-02,
The Company Men (2011),1 hrs. 45 min.,$15 million,"$4,441,272 ",Drama,Weinstein Company,R,21-Jan-11,
Mindhunters (2005),1 hrs. 46 min.,N/A,"$4,480,744 ",Action Thriller,Dimension Films,R,13-May-05,
Coast to Coast (1980),1 hrs. 34 min.,N/A,"$4,495,445 ",Unknown,Paramount,PG,3-Oct-80,
Mumford (1999),1 hrs. 52 min.,N/A,"$4,555,459 ",Comedy,Buena Vista,R,24-Sep-99,
Sunset (1988),1 hrs. 46 min.,$16 million,"$4,594,452 ",Unknown,TriStar,R,29-Apr-88,
Eliminators (1986),1 hrs. 31 min.,N/A,"$4,601,256 ",Unknown,Empire Pictures,PG,31-Jan-86,
"Lust, Caution (2007)",2 hrs. 38 min.,$15 million,"$4,604,982 ",Foreign,Focus Features,NC-17,28-Sep-07,
College (2008),1 hrs. 34 min.,$7 million,"$4,694,636 ",Comedy,MGM,R,29-Aug-08,
Howl's Moving Castle (2005),1 hrs. 59 min.,N/A,"$4,711,096 ",Animation,Buena Vista,PG,10-Jun-05,
Your Friends and Neighbors (1998),1 hrs. 41 min.,N/A,"$4,714,658 ",Comedy / Drama,Gramercy,R,21-Aug-98,
True Story (2015),1 hrs. 39 min.,N/A,"$4,719,695 ",Drama,Fox Searchlight,R,17-Apr-15,
In the Name of the King: A Dungeon Siege Tale (2008),2 hrs. 4 min.,N/A,"$4,775,656 ",Fantasy,Freestyle Releasing,PG-13,11-Jan-08,
My Chauffeur (1986),1 hrs. 37 min.,N/A,"$4,781,448 ",Unknown,Crown,R,24-Jan-86,
Just Visiting (2001),1 hrs. 28 min.,$35 million,"$4,781,539 ",Fantasy Comedy,Buena Vista,PG-13,6-Apr-01,
Extreme Ops (2002),1 hrs. 33 min.,N/A,"$4,842,259 ",Sports Action,Paramount,PG-13,27-Nov-02,
American Anthem (1986),1 hrs. 42 min.,N/A,"$4,845,724 ",Sports Drama,Columbia,PG-13,27-Jun-86,
He Knows You're Alone (1980),1 hrs. 34 min.,N/A,"$4,875,436 ",Unknown,MGM,R,29-Aug-80,
Rainbow Brite and the Star Stealer (1985),1 hrs. 25 min.,N/A,"$4,889,971 ",Animation,Warner Bros.,G,15-Nov-85,
"Paris, je t'aime (2007)",2 hrs. 1 min.,N/A,"$4,899,278 ",Romance,First Look,R,4-May-07,
The Apparition (2012),1 hrs. 22 min.,$17 million,"$4,936,819 ",Thriller,Warner Bros.,PG-13,24-Aug-12,
Vamp (1986),1 hrs. 34 min.,N/A,"$4,941,117 ",Unknown,New World,R,18-Jul-86,
Jakob the Liar (1999),2 hrs. 0 min.,$45 million,"$4,956,401 ",War Drama,Sony / Columbia,PG-13,24-Sep-99,
Club Dread (2004),1 hrs. 43 min.,N/A,"$5,001,708 ",Horror Comedy,Fox Searchlight,R,27-Feb-04,
Moon (2009),1 hrs. 37 min.,N/A,"$5,010,163 ",Sci-Fi,Sony Classics,R,12-Jun-09,
Your Name. (2017),1 hrs. 46 min.,N/A,"$5,017,246 ",Animation,FUNimation Films,PG,7-Apr-17,
Miller's Crossing (1990),1 hrs. 55 min.,N/A,"$5,080,409 ",Crime Drama,Fox,R,21-Sep-90,
Gossip (2000),1 hrs. 30 min.,$24 million,"$5,108,820 ",Thriller,Warner Bros.,R,21-Apr-00,
King David (1985),1 hrs. 53 min.,N/A,"$5,111,099 ",Unknown,Paramount,PG-13,29-Mar-85,
Jack the Bear (1993),1 hrs. 39 min.,N/A,"$5,145,823 ",Comedy / Drama,Fox,PG-13,2-Apr-93,
Alone in the Dark (2005),1 hrs. 36 min.,$20 million,"$5,178,569 ",Horror,Lions Gate,R,28-Jan-05,
52 Pick-Up (1986),1 hrs. 50 min.,N/A,"$5,186,646 ",Unknown,Cannon Films,R,7-Nov-86,
Inchon (1982),2 hrs. 20 min.,$46 million,"$5,200,986 ",Unknown,MGM,PG,17-Sep-82,
Hunt for the Wilderpeople (2016),1 hrs. 41 min.,N/A,"$5,205,468 ",Adventure Comedy,The Orchard,PG-13,24-Jun-16,
Bandslam (2009),1 hrs. 51 min.,N/A,"$5,210,988 ",Comedy,Summit Entertainment,PG,14-Aug-09,
Miami Rhapsody (1995),1 hrs. 35 min.,N/A,"$5,221,281 ",Romantic Comedy,Buena Vista,PG-13,27-Jan-95,
