Title,Runtime,Production Budget,Domestic Total Gross,Genre,Distributor,MPAA Rating,Release Date,
Black Irish (2007),1 hrs. 33 min.,N/A,"$6,900 ",Drama,Reel Diva Consultants,R,26-Oct-07,
"Love, Marilyn (2012)",1 hrs. 45 min.,N/A,"$6,950 ",Documentary,Submarine Deluxe,Unrated,30-Nov-12,
The Brass Teapot (2013),1 hrs. 41 min.,N/A,"$6,997 ",Fantasy Comedy,Magnolia,R,5-Apr-13,
In the Land of Pomegranates (2018),2 hrs. 0 min.,N/A,"$7,014 ",Documentary,First Run,Unrated,5-Jan-18,
The Brainwashing of My Dad (2016),1 hrs. 30 min.,N/A,"$7,028 ",Documentary,JSenko,Unrated,18-Mar-16,
Plot for Peace (2014),1 hrs. 24 min.,N/A,"$7,051 ",Documentary,Unknown,Unrated,31-Oct-14,
The Jazz Funeral (2017),1 hrs. 14 min.,N/A,"$7,103 ",Drama,Indican,Unrated,10-Mar-17,
A Perfect Man (2013),1 hrs. 34 min.,N/A,"$7,117 ",Drama,IFC,R,1-Nov-13,
Mendy - A Question of Faith (2006),1 hrs. 30 min.,N/A,"$7,123 ",Drama,Andes Film Company,Unrated,12-May-06,
It Had to be You (2016),1 hrs. 25 min.,N/A,"$7,162 ",Romantic Comedy,Samuel Goldwyn,R,21-Oct-16,
Li'l Quinquin (2015),3 hrs. 20 min.,N/A,"$7,192 ",Foreign,Kino Lorber,Unrated,2-Jan-15,
Antarctic Edge (2015),1 hrs. 12 min.,N/A,"$7,193 ",Documentary,First Run,Unrated,17-Apr-15,
London River (2011),1 hrs. 27 min.,N/A,"$7,200 ",Drama,Cinema Libre,Unrated,7-Dec-11,
I Am Ali (2014),1 hrs. 51 min.,N/A,"$7,205 ",Documentary,Focus Features,Unrated,10-Oct-14,
Indian Point (2016),1 hrs. 34 min.,N/A,"$7,251 ",Documentary,First Run,Unrated,8-Jul-16,
Century (1994),1 hrs. 52 min.,N/A,"$7,271 ",Unknown,IRS Media,R,9-Dec-94,
Allegro (2007),1 hrs. 28 min.,N/A,"$7,404 ",Foreign,International Film Circuit,Unrated,9-May-07,
Raze (2014),1 hrs. 27 min.,N/A,"$7,429 ",Action Horror,IFC,R,10-Jan-14,
The Cult of the Suicide Bomber (2006),1 hrs. 36 min.,N/A,"$7,451 ",Documentary,The Disinformation Co.,Unrated,2-Jun-06,
Brooklyn Brothers Beat the Best (2012),1 hrs. 38 min.,N/A,"$7,466 ",Comedy,Oscilloscope Pictures,Unrated,21-Sep-12,
loudQUIETloud: A Film About The Pixies (2006),1 hrs. 22 min.,N/A,"$7,506 ",Documentary,Roxie,Unrated,29-Sep-06,
Iceman (2014) (2014),1 hrs. 45 min.,N/A,"$7,679 ",Foreign / Action,Well Go USA,R,19-Sep-14,
Maurizio Cattelan: Be Right Back (2017),1 hrs. 35 min.,N/A,"$7,706 ",Documentary,Bond/360,Unrated,14-Apr-17,
A Walk to Beautiful (2008),1 hrs. 25 min.,N/A,"$7,718 ",Documentary,Engel Entertainment,Unrated,8-Feb-08,
The Babymakers (2012),1 hrs. 35 min.,N/A,"$7,889 ",Comedy,Millennium Ent.,R,3-Aug-12,
Mugabe and the White African (2010),1 hrs. 34 min.,N/A,"$7,924 ",Documentary,First Run,Unrated,23-Jul-10,
One Small Hitch (2015),1 hrs. 45 min.,N/A,"$7,965 ",Romantic Comedy,Freestyle Releasing,Unrated,6-Feb-15,
Pet (2016),1 hrs. 34 min.,N/A,"$8,004 ",Thriller,Samuel Goldwyn,R,30-Sep-16,
Steak (R)evolution (2015),2 hrs. 15 min.,N/A,"$8,025 ",Documentary,Kino Lorber,Unrated,17-Jul-15,
Fall to Grace (2006),1 hrs. 27 min.,N/A,"$8,043 ",Drama,Truly Indie,Unrated,16-Jun-06,
Golden Kingdom (2016),1 hrs. 43 min.,N/A,"$8,077 ",Drama,Kino Lorber,Unrated,17-Jun-16,
Games of Love and Chance (L'Esquive) (2005),1 hrs. 57 min.,N/A,"$8,085 ",Foreign,New Yorker,Unrated,31-Aug-05,
Silicon Cowboys (2016),1 hrs. 17 min.,N/A,"$8,239 ",Documentary,FilmRise,Unrated,16-Sep-16,
Empty Hours (2014),1 hrs. 40 min.,N/A,"$8,244 ",Foreign,Strand,Unrated,11-Jul-14,
The Girl in the Book (2015),1 hrs. 28 min.,N/A,"$8,245 ",Drama,Freestyle Releasing,Unrated,11-Dec-15,
A Teacher (2013),1 hrs. 15 min.,N/A,"$8,348 ",Drama,Oscilloscope Pictures,Unrated,6-Sep-13,
Gringo Trails (2014),1 hrs. 19 min.,N/A,"$8,349 ",Documentary,Icarus Films,Unrated,19-Apr-14,
Gilbert (2017),1 hrs. 31 min.,N/A,"$8,362 ",Documentary,Submarine Deluxe,Unrated,3-Nov-17,
Glastonbury (2007),2 hrs. 18 min.,N/A,"$8,419 ",Documentary,ThinkFilm,R,23-Feb-07,
Red Hollywood (2014),1 hrs. 58 min.,N/A,"$8,426 ",Documentary,Cinema Guild,Unrated,15-Aug-14,
Blind Date (2009) (2009),1 hrs. 20 min.,N/A,"$8,449 ",Drama,Variance Films,Unrated,25-Sep-09,
Goodbye Momo (2007),1 hrs. 30 min.,N/A,"$8,453 ",Foreign,Artmattan Prods.,Unrated,20-Apr-07,
Salvador Allende (2007),1 hrs. 40 min.,N/A,"$8,454 ",Documentary,Icarus Films,Unrated,5-Sep-07,
Another Happy Day (2011),1 hrs. 55 min.,N/A,"$8,464 ",Drama,Phase 4,R,18-Nov-11,
The Quitter (2014),1 hrs. 25 min.,N/A,"$8,512 ",Comedy / Drama,Old Glove Productions,Unrated,12-Sep-14,
The Man in the White Suit (2012 re-release) (2012),1 hrs. 25 min.,N/A,"$8,718 ",Comedy,Rialto,Unrated,16-Nov-12,
Closing Escrow (2007),1 hrs. 33 min.,N/A,"$8,719 ",Comedy,Magnolia,PG,24-Aug-07,
Duet for One (1986),1 hrs. 47 min.,N/A,"$8,736 ",Unknown,Cannon Films,R,25-Dec-86,
Bounce: Behind the Velvet Rope (2001),1 hrs. 11 min.,N/A,"$8,779 ",Documentary,Artistic License,Unrated,7-Sep-01,
Hell Baby (2013),1 hrs. 33 min.,N/A,"$8,785 ",Horror Comedy,Millennium Ent.,R,6-Sep-13,
Dawn of the Crescent Moon (2015),1 hrs. 35 min.,N/A,"$8,799 ",Sci-Fi Thriller,Indican,Unrated,24-Jul-15,
The Swenkas (2005),1 hrs. 12 min.,N/A,"$8,860 ",Documentary,7th Art,Unrated,9-Nov-05,
B-Side (2015),1 hrs. 38 min.,N/A,"$8,870 ",Romance,Indican,Unrated,10-Jul-15,
The Hawk (1993),1 hrs. 28 min.,N/A,"$8,906 ",Thriller,Castle Hill,R,10-Dec-93,
Black White + Gray: A Portrait of Sam Wagstaff and Robert Mapplethorpe (2007),1 hrs. 17 min.,N/A,"$8,939 ",Documentary,Arthouse Films,Unrated,19-Oct-07,
Brotherhood (Broderskab) (2010),1 hrs. 30 min.,N/A,"$8,979 ",Foreign,Olive Films,R,6-Aug-10,
Survivors Guide to Prison (2018),1 hrs. 42 min.,N/A,"$8,982 ",Documentary,Gravitas Ventures,Unrated,23-Feb-18,
Chronic (2016),1 hrs. 33 min.,N/A,"$9,033 ",Drama,Monument Releasing,R,23-Sep-16,
Hi-Life (1998),1 hrs. 25 min.,N/A,"$9,066 ",Unknown,Lions Gate,R,4-Dec-98,
Out of the Past (1998) (1998),1 hrs. 37 min.,N/A,"$9,078 ",Documentary,Zeitgeist,Unrated,31-Jul-98,
Julian Schnabel: A Private Portrait (2017),1 hrs. 24 min.,N/A,"$9,103 ",Documentary,Cohen Media Group,Unrated,5-May-17,
11 Flowers (2013),1 hrs. 50 min.,N/A,"$9,213 ",Foreign,First Run,Unrated,22-Feb-13,
The Sacrament (2014),1 hrs. 40 min.,N/A,"$9,221 ",Horror,Magnolia,R,6-Jun-14,
Better Mus' Come (2013),1 hrs. 44 min.,N/A,"$9,318 ",Crime Drama,AFFRM,Unrated,15-Mar-13,
Honeymoon (2014),1 hrs. 27 min.,N/A,"$9,318 ",Horror,Magnolia,R,12-Sep-14,
The Immortalists (2014),1 hrs. 18 min.,N/A,"$9,331 ",Documentary,Gathr Films,Unrated,26-Nov-14,
200 Cartas (2013),1 hrs. 37 min.,N/A,"$9,338 ",Romantic Comedy,Vanguardia Films,Unrated,14-Jun-13,
Crazy Like a Fox (2006),1 hrs. 38 min.,N/A,"$9,376 ",Comedy,Delphi Film Foundation,PG-13,5-May-06,
Two by Scorsese (re-issue) (2005),N/A,N/A,"$9,395 ",Documentary,Kino,Unrated,21-Jan-05,
"One Cut, One Life (2015)",1 hrs. 45 min.,N/A,"$9,406 ",Documentary,First Run,Unrated,13-May-15,
El Bonaerense (2003),1 hrs. 45 min.,N/A,"$9,470 ",Foreign,Menemsha,Unrated,26-Nov-03,
Claire Dolan (2000),1 hrs. 35 min.,N/A,"$9,480 ",Drama,New Yorker,Unrated,25-Feb-00,
Open Season (1996) (1996),1 hrs. 37 min.,N/A,"$9,481 ",Unknown,Legacy,R,3-May-96,
The Lost Arcade (2016),1 hrs. 19 min.,N/A,"$9,522 ",Documentary,26 Aries,Unrated,12-Aug-16,
Endgame (2009),1 hrs. 49 min.,N/A,"$9,645 ",Drama,"Monterey Media, Inc.",PG-13,6-Nov-09,
Cuba: Island of Music (2004),1 hrs. 20 min.,N/A,"$9,791 ",Documentary,Cinema Four,Unrated,16-Jan-04,
Down Terrace (2010),1 hrs. 29 min.,"$30,000 ","$9,812 ",Comedy,Magnolia,R,15-Oct-10,
Please Stand By (2018),1 hrs. 33 min.,N/A,"$9,868 ",Comedy / Drama,Magnolia,PG-13,26-Jan-18,
Act of God (2009),1 hrs. 15 min.,N/A,"$9,955 ",Documentary,Zeitgeist,Unrated,31-Jul-09,
Made in France (2016),1 hrs. 29 min.,N/A,"$9,956 ",Thriller,Under the Milky Way,Unrated,23-Sep-16,
The Sunshine Makers (2017),1 hrs. 30 min.,N/A,"$10,042 ",Documentary,FilmRise,Unrated,20-Jan-17,
Little Accidents (2015),1 hrs. 45 min.,N/A,"$10,071 ",Drama,Amplify,Unrated,16-Jan-15,
Before I Disappear (2014),1 hrs. 35 min.,N/A,"$10,078 ",Comedy / Drama,IFC,Unrated,28-Nov-14,
Putin's Kiss (2012),1 hrs. 25 min.,N/A,"$10,082 ",Foreign,Kino Lorber,Unrated,17-Feb-12,
"Good Morning, Night (2005)",1 hrs. 45 min.,N/A,"$10,093 ",Foreign,Wellspring,Unrated,11-Nov-05,
Beta Test (2016),1 hrs. 28 min.,N/A,"$10,104 ",Sci-Fi Action,Mirror Images Ltd.,Unrated,22-Jul-16,
Husbands in Goa (2012),2 hrs. 20 min.,N/A,"$10,135 ",Foreign,UTV Communications,Unrated,21-Sep-12,
The Endless Summer (2014 re-release) (2014),1 hrs. 32 min.,N/A,"$10,233 ",Documentary,"Monterey Media, Inc.",PG,23-Jul-14,
Shepard and Dark (2013),1 hrs. 32 min.,N/A,"$10,278 ",Documentary,Music Box Films,Unrated,25-Sep-13,
Forgiving Dr. Mengele (2006),1 hrs. 22 min.,N/A,"$10,403 ",Documentary,First Run,Unrated,24-Feb-06,
Love in the Time of Money (2002),1 hrs. 30 min.,N/A,"$10,410 ",Unknown,ThinkFilm,R,1-Nov-02,
Mama Africa Miriam Makeba (2018),1 hrs. 30 min.,N/A,"$10,430 ",Documentary,Artmattan Prods.,Unrated,19-Jan-18,
In the Pit (2007),1 hrs. 30 min.,N/A,"$10,433 ",Foreign,Kino,Unrated,2-Feb-07,
The Autopsy of Jane Doe (2016),1 hrs. 27 min.,N/A,"$10,474 ",Horror,IFC,R,21-Dec-16,
Clarence (2017) (2017),1 hrs. 17 min.,N/A,"$10,495 ",Documentary,Indican,G,1-Sep-17,
Splinter (2007) (2007),1 hrs. 30 min.,N/A,"$10,497 ",Crime Thriller,Magic Lamp,R,17-Aug-07,
Waiting for Armageddon (2010),1 hrs. 14 min.,N/A,"$10,501 ",Documentary,First Run,Unrated,8-Jan-10,
White Rainbow (2006),1 hrs. 34 min.,N/A,"$10,529 ",Foreign,Indican,PG-13,7-Apr-06,
whaledreamers (2008),1 hrs. 23 min.,N/A,"$10,584 ",Documentary,"Monterey Media, Inc.",Unrated,26-Sep-08,
Lovesong (2017),1 hrs. 25 min.,N/A,"$10,626 ",Drama,Strand,Unrated,17-Feb-17,
Caucus (2013),1 hrs. 40 min.,N/A,"$10,645 ",Documentary,Bonfire Films of America,Unrated,25-Oct-13,
American Meat (2013),N/A,N/A,"$10,650 ",Documentary,Leave It Better,Unrated,12-Apr-13,
The Pleasure of Being Robbed (2008),1 hrs. 11 min.,N/A,"$10,687 ",Comedy,IFC,Unrated,3-Oct-08,
Mala Mala (2015),1 hrs. 30 min.,N/A,"$10,761 ",Documentary,Strand,Unrated,1-Jul-15,
The Players (2014),1 hrs. 49 min.,N/A,"$10,854 ",Foreign,Weinstein Company,R,4-Apr-14,
Just Before I Go (2015),1 hrs. 32 min.,N/A,"$10,970 ",Comedy,Anchor Bay Films,R,24-Apr-15,
The Woman with the Five Elephants (2011),N/A,N/A,"$11,026 ",Foreign,Cinema Guild,Unrated,20-Jul-11,
InSight (2011),1 hrs. 32 min.,N/A,"$11,100 ",Drama,Check Entertainment,R,2-Sep-11,
The Wedding Party 2: Destination Dubai (2018),1 hrs. 38 min.,N/A,"$11,140 ",Comedy,IronFlix,Unrated,14-Feb-18,
Theo Who Lived (2016),1 hrs. 26 min.,N/A,"$11,271 ",Documentary,Zeitgeist,Unrated,7-Oct-16,
Dishkiyaoon (2014),1 hrs. 50 min.,N/A,"$11,288 ",Foreign,Eros,Unrated,28-Mar-14,
Live Freaky! Die Freaky! (2006),1 hrs. 20 min.,N/A,"$11,290 ",Animation,Wellspring,Unrated,27-Jan-06,
"Otto; or, Up with the Dead People (2008)",1 hrs. 35 min.,N/A,"$11,295 ",Horror Comedy,Strand,Unrated,7-Nov-08,
Family Fundamentals (2002),1 hrs. 15 min.,N/A,"$11,344 ",Documentary,Focus Features,Unrated,11-Oct-02,
Iron Warrior (1987),1 hrs. 22 min.,N/A,"$11,385 ",Unknown,Trans World Ent.,PG-13,9-Jan-87,
Verdict on Auschwitz (2007),3 hrs. 0 min.,N/A,"$11,396 ",Documentary,First Run,Unrated,12-Jan-07,
Beside Bowie: The Mick Ronson Story (2017),1 hrs. 48 min.,N/A,"$11,400 ",Documentary,Parade Deck Films,Unrated,25-Aug-17,
The Great Invisible (2014),1 hrs. 32 min.,N/A,"$11,428 ",Documentary,Radius-TWC,PG-13,29-Oct-14,
Claire's Camera (2018),1 hrs. 9 min.,N/A,"$11,489 ",Comedy / Drama,Cinema Guild,Unrated,9-Mar-18,
Elektra Luxx (2011),1 hrs. 40 min.,N/A,"$11,514 ",Comedy,Samuel Goldwyn,R,11-Mar-11,
Girl Play (2005),1 hrs. 20 min.,N/A,"$11,523 ",Romantic Comedy,Wolfe Releasing,Unrated,1-Apr-05,
The Preppie Connection (2016),1 hrs. 35 min.,N/A,"$11,558 ",Crime Drama,IFC,R,18-Mar-16,
Operation Filmmaker (2008),1 hrs. 35 min.,N/A,"$11,573 ",Documentary,Icarus Films,Unrated,4-Jun-08,
36 Saints (2013),N/A,N/A,"$11,640 ",Thriller,Active Fox Productions,R,6-Sep-13,
Don't Call Me Son (2016),1 hrs. 22 min.,N/A,"$11,678 ",Foreign,Zeitgeist,Unrated,2-Nov-16,
One Peace at a Time (2009),1 hrs. 23 min.,N/A,"$11,698 ",Documentary,"Monterey Media, Inc.",Unrated,4-Dec-09,
White Wedding (2010),1 hrs. 33 min.,N/A,"$11,710 ",Romantic Comedy,Dada Films,PG-13,3-Sep-10,
Blockade (2007),0 hrs. 52 min.,N/A,"$11,750 ",Documentary,Icarus Films,Unrated,14-Mar-07,
The Dry Land (2010),1 hrs. 32 min.,N/A,"$11,777 ",Drama,Freestyle Releasing,R,30-Jul-10,
Contre-Enquete (2008),1 hrs. 25 min.,N/A,"$11,846 ",Foreign,Alliance,Unrated,29-Feb-08,
Last Stop for Paul (2008),1 hrs. 23 min.,N/A,"$11,951 ",Comedy,Mandt Bros. Productions,PG-13,7-Mar-08,
The Legend of Leigh Bowery (2003),N/A,N/A,"$11,989 ",Unknown,Palm,Unrated,28-Nov-03,
Rick (2004),1 hrs. 40 min.,N/A,"$11,991 ",Unknown,Vitagraph,R,24-Sep-04,
The French Minister (2014),1 hrs. 53 min.,N/A,"$12,027 ",Foreign,IFC,Unrated,21-Mar-14,
Murder in the Park (2015),1 hrs. 31 min.,N/A,"$12,088 ",Documentary,IFC,PG-13,26-Jun-15,
The Last Broadcast (1998),1 hrs. 26 min.,N/A,"$12,097 ",Horror,Wavelength,Unrated,23-Oct-98,
In No Great Hurry: 13 Lessons in Life with Saul Leiter (2014),1 hrs. 15 min.,N/A,"$12,133 ",Documentary,mTuckman Media,Unrated,3-Jan-14,
Back Door Channels (2011),1 hrs. 35 min.,N/A,"$12,139 ",Documentary,Fisher-Klingenstein Films,Unrated,16-Sep-11,
Wolves (2014),1 hrs. 31 min.,N/A,"$12,139 ",Action Horror,Ketchup Entertainment,R,14-Nov-14,
Touch the Wall (2014),1 hrs. 48 min.,N/A,"$12,156 ",Documentary,"Touch the Wall, LLC",Unrated,28-Nov-14,
The Dust Factory (2004),1 hrs. 39 min.,N/A,"$12,311 ",Fantasy Drama,MGM,PG,15-Oct-04,
Spin (2004) (2004),1 hrs. 47 min.,N/A,"$12,355 ",Unknown,Innovation Film Group,PG-13,15-Oct-04,
Daltry Calhoun (2005),1 hrs. 40 min.,N/A,"$12,551 ",Comedy,Miramax,PG-13,23-Sep-05,
My Art (2018),1 hrs. 27 min.,N/A,"$12,554 ",Comedy,Film Movement,Unrated,12-Jan-18,
Bhopal: A Prayer for Rain (2014),1 hrs. 36 min.,N/A,"$12,628 ",Drama,Revolver,Unrated,7-Nov-14,
August (2008),1 hrs. 28 min.,N/A,"$12,636 ",Drama,First Look,R,11-Jul-08,
Autumn (2006),1 hrs. 50 min.,N/A,"$12,655 ",Foreign,Truly Indie,Unrated,9-Jun-06,
Special ID (2014),1 hrs. 39 min.,N/A,"$12,666 ",Foreign / Action,Well Go USA,R,7-Mar-14,
Christmas at Maxwell's (2006),1 hrs. 34 min.,$3 million,"$12,781 ",Drama,Aloha Releasing,PG,1-Dec-06,
Children Underground (2001),1 hrs. 44 min.,N/A,"$12,798 ",Documentary,Cinemax,Unrated,19-Sep-01,
The Art of Being Straight (2009),1 hrs. 10 min.,N/A,"$12,831 ",Comedy / Drama,Regent Releasing,Unrated,5-Jun-09,
Alien Abduction (2014),1 hrs. 25 min.,N/A,"$12,897 ",Sci-Fi Horror,IFC,Unrated,4-Apr-14,
A Green Story (2013),1 hrs. 37 min.,N/A,"$12,901 ",Drama,Indican,Unrated,24-May-13,
Little Boy Blue (1998),1 hrs. 39 min.,N/A,"$12,958 ",Drama,Castle Hill,R,29-May-98,
Skid Marks (2007),1 hrs. 35 min.,N/A,"$12,959 ",Action Comedy,Diversa Films,R,5-Oct-07,
"How Much Does Your Building Weigh, Mr. Foster? (2012)",1 hrs. 18 min.,N/A,"$13,013 ",Documentary,First Run,Unrated,25-Jan-12,
Jim (2010) (2010),1 hrs. 41 min.,N/A,"$13,015 ",Sci-Fi,Area23a,Unrated,8-Oct-10,
Blind Mountain (2008),1 hrs. 35 min.,N/A,"$13,164 ",Foreign,Kino,Unrated,12-Mar-08,
Bob Le Flambeur (2017 re-release) (2018),1 hrs. 40 min.,N/A,"$13,254 ",Crime Drama,Rialto,Unrated,5-Jan-18,
Camp X-Ray (2014),1 hrs. 57 min.,"$1,000,000 ","$13,302 ",Drama,IFC,R,17-Oct-14,
Violet Tendencies (2010),1 hrs. 39 min.,N/A,"$13,304 ",Comedy,Embrem Entertainment,Unrated,5-Nov-10,
War of the Worlds: Goliath (2014),1 hrs. 25 min.,N/A,"$13,385 ",Animation,Barking Cow Media Group,PG-13,7-Mar-14,
Reuniting the Rubins (2012),1 hrs. 39 min.,N/A,"$13,569 ",Family Comedy,"Monterey Media, Inc.",PG,16-Mar-12,
Amour Fou (2015),1 hrs. 36 min.,N/A,"$13,702 ",Foreign,Film Movement,Unrated,18-Mar-15,
Don McKay (2010),1 hrs. 27 min.,N/A,"$13,722 ",Drama / Thriller,Image Entertainment,R,2-Apr-10,
13 Sins (2014),1 hrs. 32 min.,N/A,"$13,809 ",Thriller,Radius-TWC,R,18-Apr-14,
I'm Losing You (1999),1 hrs. 40 min.,N/A,"$13,996 ",Drama,Strand,R,16-Jul-99,
Il Futuro (2013),1 hrs. 34 min.,N/A,"$14,001 ",Foreign,Strand,Unrated,6-Sep-13,
GhettoPhysics: Will the Real Pimps and Hos Please Stand Up? (2010),1 hrs. 34 min.,N/A,"$14,034 ",Drama,Samuel Goldwyn,R,8-Oct-10,
6 Month Rule (2012),1 hrs. 39 min.,N/A,"$14,057 ",Comedy,Secret Identity,R,1-Jun-12,
Carmen & Geoffrey (2009),1 hrs. 20 min.,N/A,"$14,130 ",Documentary,First Run,Unrated,13-Mar-09,
Brotherhood of Blades 2: The Infernal Battlefield (2017),2 hrs. 0 min.,N/A,"$14,204 ",Action Drama,Well Go USA,Unrated,1-Dec-17,
A Modern Affair (1996),1 hrs. 30 min.,N/A,"$14,286 ",Unknown,Tara Releasing,R,24-May-96,
The Anarchist Cookbook (2003),1 hrs. 41 min.,N/A,"$14,369 ",Unknown,Innovation Film Group,R,18-Jul-03,
The Journey of August King (1995),1 hrs. 31 min.,N/A,"$14,381 ",Unknown,Miramax,PG-13,10-Nov-95,
The Unbelievers (2013),1 hrs. 17 min.,N/A,"$14,400 ",Documentary,Content Media,Unrated,29-Nov-13,
Opal Dream (2006),1 hrs. 26 min.,N/A,"$14,443 ",Drama,Strand,PG,22-Nov-06,
Lamb (2016) (2016),1 hrs. 36 min.,N/A,"$14,547 ",Drama,The Orchard,R,8-Jan-16,
The Next Big Thing (2002),1 hrs. 27 min.,N/A,"$14,600 ",Romantic Comedy,Castle Hill,R,29-May-02,
Last Passenger (2014),1 hrs. 37 min.,N/A,"$14,806 ",Action Thriller,Cohen Media Group,R,25-Apr-14,
Girls vs Gangsters (2018),2 hrs. 18 min.,N/A,"$15,044 ",Comedy,Well Go USA,Unrated,9-Mar-18,
Barefoot (2014),1 hrs. 30 min.,N/A,"$15,071 ",Comedy / Drama,Roadside Attractions,PG-13,21-Feb-14,
Of Mind and Music (2016),1 hrs. 37 min.,N/A,"$15,073 ",Drama,"Monterey Media, Inc.",PG-13,12-Feb-16,
Cheatin' (2015),1 hrs. 16 min.,N/A,"$15,077 ",Animation,Plymptoons,Unrated,3-Apr-15,
The Education of Charlie Banks (2009),1 hrs. 40 min.,N/A,"$15,078 ",Drama,Anchor Bay Films,R,27-Mar-09,
Drive (1992),1 hrs. 39 min.,N/A,"$15,084 ",Unknown,MEI Releasing,Unrated,7-Aug-92,
Nora (2001),N/A,N/A,"$15,120 ",Unknown,Andora Pictures,R,4-May-01,
All Hat (2008),1 hrs. 29 min.,N/A,"$15,198 ",Western Comedy,Alliance,R,18-Jan-08,
Off the Lip (2004),1 hrs. 27 min.,N/A,"$15,217 ",Unknown,Hannover House,R,7-May-04,
Seaside (2003),1 hrs. 28 min.,N/A,"$15,290 ",Foreign,First Run,Unrated,6-Aug-03,
Memories of Murder (2005),2 hrs. 12 min.,N/A,"$15,357 ",Foreign,Palm,Unrated,15-Jul-05,
A Little Bit of Heaven (2012),1 hrs. 47 min.,N/A,"$15,375 ",Romance,Millennium Ent.,PG-13,4-May-12,
Formula 17 (2005),1 hrs. 33 min.,N/A,"$15,427 ",Foreign,Strand,Unrated,26-Aug-05,
Spanish Fly (1999),1 hrs. 31 min.,N/A,"$15,503 ",Drama,Miramax,R,1-Dec-99,
Save the Green Planet! (2005),1 hrs. 56 min.,N/A,"$15,516 ",Foreign,Koch Lorber Films,Unrated,22-Apr-05,
Quiet City (2007),1 hrs. 18 min.,N/A,"$15,610 ",Drama,600 West,Unrated,29-Aug-07,
Five Minutes of Heaven (2009),1 hrs. 30 min.,N/A,"$15,676 ",Crime Drama,IFC,R,21-Aug-09,
Anchor Baby (2011),1 hrs. 35 min.,N/A,"$15,790 ",Drama / Thriller,Alpha Galore,Unrated,8-Jul-11,
A Reason (2015),1 hrs. 52 min.,N/A,"$15,792 ",Drama,Indican,Unrated,28-Aug-15,
Kills on Wheels (2017),1 hrs. 45 min.,N/A,"$15,898 ",Action Comedy,Kino Lorber,Unrated,20-Oct-17,
Out of the Clear Blue Sky (2013),1 hrs. 47 min.,N/A,"$16,050 ",Documentary,Area23a,Unrated,6-Sep-13,
In the Intense Now (2018),2 hrs. 7 min.,N/A,"$16,068 ",Documentary,Icarus Films,Unrated,31-Jan-18,
Time (2007),1 hrs. 37 min.,N/A,"$16,070 ",Foreign,Lifesize,Unrated,13-Jul-07,
London Boulevard (2011),1 hrs. 43 min.,N/A,"$16,075 ",Crime Drama,IFC,R,11-Nov-11,
All the Queen's Horses (2017),1 hrs. 10 min.,N/A,"$16,172 ",Documentary,Argot Pictures,Unrated,10-Nov-17,
Genesis (2005),1 hrs. 21 min.,N/A,"$16,413 ",Documentary,ThinkFilm,G,27-May-05,
American Cannibal (2007),1 hrs. 27 min.,N/A,"$16,566 ",Documentary,Lifesize,Unrated,16-Mar-07,
Who Took Johnny (2015),1 hrs. 21 min.,N/A,"$16,595 ",Documentary,Rumur Releasing,Unrated,24-Apr-15,
The Freebie (2010),1 hrs. 18 min.,N/A,"$16,613 ",Comedy / Drama,Phase 4,R,17-Sep-10,
Fascination (2005),1 hrs. 35 min.,$5 million,"$16,670 ",Romantic Thriller,MGM,R,28-Jan-05,
As I Lay Dying (2013),1 hrs. 49 min.,N/A,"$16,697 ",Drama,Millennium Ent.,R,11-Oct-13,
Burning Bush (2014),3 hrs. 51 min.,N/A,"$16,731 ",Foreign,Kino Lorber,Unrated,11-Jun-14,
Eva (2015),1 hrs. 34 min.,N/A,"$16,738 ",Foreign,Weinstein Company,PG-13,13-Mar-15,
Extraction (2015),1 hrs. 23 min.,N/A,"$16,775 ",Thriller,Lionsgate Premiere,R,18-Dec-15,
Night Across the Street (2013),1 hrs. 50 min.,N/A,"$16,778 ",Foreign,Cinema Guild,Unrated,8-Feb-13,
Goodbye To All That (2014),1 hrs. 24 min.,N/A,"$16,986 ",Drama,IFC,Unrated,17-Dec-14,
The Reflecting Skin (1991),1 hrs. 35 min.,N/A,"$17,042 ",Unknown,Miramax,R,28-Jun-91,
Accident (2014),1 hrs. 43 min.,N/A,"$17,161 ",Drama,Rialto,Unrated,23-May-14,
2by4 (1999),1 hrs. 30 min.,N/A,"$17,162 ",Unknown,Strand,Unrated,26-Nov-99,
Food Evolution (2017),1 hrs. 32 min.,N/A,"$17,181 ",Documentary,Abramorama,Unrated,23-Jun-17,
Baby Blues (2008),1 hrs. 26 min.,N/A,"$17,234 ",Drama,Unknown,R,11-Jan-08,
Ever Again (2006),1 hrs. 15 min.,N/A,"$17,304 ",Documentary,Rocky Mountain Pictures,Unrated,8-Dec-06,
Strangerland (2015),1 hrs. 52 min.,N/A,"$17,472 ",Drama / Thriller,Alchemy,R,10-Jul-15,
"Milwaukee, Minnesota (2005)",1 hrs. 35 min.,N/A,"$17,528 ",Drama,Tartan,R,3-Jun-05,
Night at the Golden Eagle (2002),1 hrs. 27 min.,N/A,"$17,643 ",Crime Drama,Keystone,R,26-Apr-02,
Dealin' With Idiots (2013),1 hrs. 28 min.,N/A,"$17,909 ",Comedy,IFC,Unrated,12-Jul-13,
Jamel Shabazz Street Photographer (2013),N/A,N/A,"$17,992 ",Documentary,APD/Cinema Conservancy,Unrated,2-Aug-13,
